Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
1,SÍ,8,"[(0.17144491821527524, 0.4159705460071567), (0.16426545232534454, 0.4363005399703983), (0.15585510507226036, 0.45572466850280796), (0.14536416754126594, 0.4777486056089405), (0.13287217244505928, 0.4914665549993519), (0.12115124017000242, 0.505184504389763), (0.11189654096961066, 0.5101965010166171), (0.10482162088155791, 0.5101965010166171), (0.1001569971442227, 0.5075966924428943), (0.0977362878620629, 0.5075966924428943), (0.0977362878620629, 0.5075966924428942), (0.09846474155783698, 0.510196501016617), (0.10112830772995993, 0.5127963095903398), (0.10285576358437583, 0.5145208001136783), (0.10434036254882857, 0.5136454820632937), (0.10509650781750723, 0.5127701640129093), (0.10849441215395972, 0.5118948459625248), (0.11342473700642627, 0.5129263341426853), (0.11929117217659994, 0.5178140282630924), (0.12592360898852392, 0.5227017223834995), (0.1328098557889466, 0.5246085286140445), (0.13705434352159546, 0.5232736527919772), (0.13837715238332793, 0.5200319707393648), (0.1396999612450604, 0.5175584793090823), (0.1404841870069508, 0.5156505703926089), (0.1441564574837689, 0.5167235493659976), (0.147828727960587, 0.527581745386124), (0.15258411020040558, 0.5407485842704777), (0.1582247838377957, 0.5551649928092961), (0.16352490782737777, 0.5730256795883183), (0.16645795106887862, 0.5930976986885075), (0.16939099431037946, 0.6093062818050389), (0.17093792855739637, 0.6205261230468755), (0.1735526576638226, 0.6267473161220555), (0.1735526576638226, 0.6289586484432226), (0.17277788370847746, 0.6267473161220556), (0.1743133351206784, 0.617846024036408), (0.17388450801372574, 0.6112659752368932), (0.17150259464979217, 0.6046859264373784), (0.17184854149818465, 0.5981058776378636), (0.17415876686573073, 0.5890973687171941), (0.17415876686573073, 0.582083505392075), (0.17450728863477752, 0.5802639186382298), (0.1748558104038243, 0.5736089110374455), (0.17515656352043196, 0.5669539034366612), (0.17349303811788602, 0.5627029418945317), (0.17187728136777922, 0.554857182502747), (0.17352586388587996, 0.5316019684076314), (0.1751744464039807, 0.5003942757844928), (0.1785207569599156, 0.46036062538623845)]",14.213363600003504,17.0330563000025,0
-------,-------,-------,-------,-------,-------,-------
2,NO,12,"[(0.16163639873266264, 0.15902945399284407), (0.1620474755764012, 0.16530829370021866), (0.16336622983217283, 0.16864272058010146), (0.16468498408794446, 0.17151635140180632), (0.16531104296445892, 0.17968316674232526), (0.16533598303794905, 0.18492763787508054), (0.16514610350132033, 0.19017210900783582), (0.1653610855340962, 0.1954165801405911), (0.16641357541084334, 0.1977874204516415), (0.16641357541084334, 0.1977874204516415), (0.16701469421386764, 0.19728706330061002), (0.16741955578327222, 0.19712281972169918), (0.1682570636272435, 0.19695857614278836), (0.16741955578327222, 0.19728762805461925), (0.1682570636272435, 0.19811703711748166), (0.17057988196611448, 0.19845315068960231), (0.17455145567655608, 0.19845315068960231), (0.17768552154302641, 0.19894644618034404), (0.18165709525346802, 0.19894644618034404), (0.1819883614778523, 0.19946753531694456), (0.18299191296100661, 0.2017260685563092), (0.18234670907259032, 0.20398460179567382), (0.1795439094305043, 0.2063762724399571), (0.17686747610569045, 0.21159011721611068), (0.17699384242296262, 0.22212762683630033), (0.17496261298656507, 0.2360271334648137), (0.17053258270025298, 0.26370073109865233), (0.17065894901752515, 0.2939020514488225), (0.16826014816761062, 0.33153809607029006), (0.1649140059947972, 0.3640299201011662), (0.16094416528940245, 0.3996484756469731), (0.15881486386060759, 0.4234140813350682), (0.1532945513725285, 0.4494929611682895), (0.150173039734364, 0.4653149425983433), (0.14799886941909834, 0.48043639063835186), (0.14744060784578367, 0.48821144104003944), (0.14744060784578367, 0.4940653502941135), (0.14874516427516982, 0.4940653502941135), (0.14874516427516982, 0.48884122669696844), (0.15004972070455597, 0.47666722238063847), (0.14905751049518629, 0.4630762398242954), (0.14806530028581663, 0.448594614863396), (0.14947513788938566, 0.4339118570089345), (0.14892974793911024, 0.41461342275142715), (0.1470798015594487, 0.3925955832004552), (0.14653441160917327, 0.3679858148097996), (0.14924880564212845, 0.33660150170326275), (0.15262008160352752, 0.3020360946655278), (0.16258966326713606, 0.2737728461623196)]",17.546636099999887,21.82978550000189,0
-------,-------,-------,-------,-------,-------,-------
