RESULTADOS MIOS,,,,,,
5,BEBER,10,"[(0.7381429977078142, 0.18858868666161546), (0.7356395560384789, 0.20364102329990952), (0.7308469286077888, 0.21697328472935107), (0.7285577428464343, 0.23931370294156634), (0.7262685570850798, 0.25591604967408343), (0.7228327669758337, 0.25591604967408343), (0.7193969768665875, 0.25129685595983065), (0.7166530377208503, 0.25813760469760566), (0.7155064333729588, 0.25597019665260684), (0.7159945525052006, 0.2445102542005791), (0.7176292759853339, 0.25597019665260684), (0.7176292759853339, 0.26743013910463465), (0.7160240850425694, 0.26743013910463465), (0.708705786096689, 0.2769715791084483), (0.6997527636706755, 0.29797296156428976), (0.6905510671639337, 0.2979729615642897), (0.6773611961691222, 0.2857611646663787), (0.6673738509149206, 0.26851659338045636), (0.6671251768341925, 0.24173058209072038), (0.6682778693503664, 0.21494457080098436), (0.6731304357686066, 0.20065421605870298), (0.6836059001550497, 0.1985756582143326), (0.6963376891982247, 0.20152987475797354), (0.7002440545325865, 0.20877395164635093), (0.7002440545325865, 0.2168770930306251), (0.6967928547112483, 0.21886123979728875), (0.6888420246905966, 0.2208453865639523), (0.6723438579105283, 0.22282953333061598), (0.6590482168710704, 0.22052381975254312), (0.6482575745690722, 0.21735904167857348), (0.6416101772180925, 0.2153748949119098), (0.6394624100664265, 0.21076702900760408), (0.6394624100664266, 0.20615916310329827), (0.6394624100664266, 0.2015512971989925), (0.6436056550174452, 0.1925865139916339), (0.6436056550174452, 0.1856058775509389), (0.6436056550174452, 0.18124896024788612), (0.6452118334795272, 0.17689204294483335), (0.6468180119416089, 0.17253512564178053), (0.6468180119416089, 0.16913826329631376), (0.6446586122184862, 0.165741400950847), (0.6424992124953635, 0.1611482485626966), (0.6428768792611773, 0.15199380160610118), (0.6428206685049739, 0.14283935464950578)]",11.9781297,19.0870758,0
-------,-------,-------,-------,-------,-------,-------
6,TAB. CUERPO,9,"[(0.28958707318495686, 0.3865134519289168), (0.31279901026175394, 0.36287811968941674), (0.33288099514297353, 0.3367513834586914), (0.34575321373593604, 0.310624647227966), (0.34998131607518135, 0.28830341770735995), (0.35490354228211707, 0.2765317693589663), (0.3590774667399931, 0.2710349285701005), (0.3632513911978689, 0.26934359449135414), (0.368699286143746, 0.26670858506069833), (0.37436474841700823, 0.2520314598267851), (0.37933608682257997, 0.2455909436860099), (0.38680144210670975, 0.24464726833410042), (0.3942667973908395, 0.235466983889053), (0.3949308642600437, 0.2341371328721186), (0.3995893659714643, 0.240797612486725), (0.4051628889194907, 0.2392214830081935), (0.41180266974400564, 0.23764535352966193), (0.41483741697637927, 0.24430583314426832), (0.42855306380230196, 0.2618907148327244), (0.4315878110346757, 0.2797218749827778), (0.43972993491257195, 0.3094684380945202), (0.4421472992025592, 0.34236010884568235), (0.4452417302208814, 0.37210667195742475), (0.44527734778745953, 0.3805103553752208), (0.45133536323616613, 0.3955708659763296), (0.4533020533624443, 0.39959456682158867), (0.45526874348872237, 0.40117800641446133), (0.4599013797511655, 0.4092759020022981), (0.4587321439127242, 0.41751616877848347), (0.45756290807428296, 0.41909960837135596), (0.4544625996761417, 0.41980445475838923), (0.4546653255996995, 0.41980445475838923), (0.45182703792919954, 0.4164351064028448), (0.45182703792919954, 0.4157302600158116), (0.45068361608017227, 0.4123424213882668), (0.45068361608017227, 0.40229775557740916), (0.4473805817584732, 0.38528560942592716), (0.4473805817584732, 0.37524094361506954), (0.44623715990944596, 0.3627156817892531), (0.4473805817584732, 0.34909137426531583), (0.4473805817584732, 0.3432129023982909), (0.4504829225104926, 0.3443019108718904), (0.4548175752676341, 0.3243677865792368), (0.46130174255999334, 0.29556814474116816), (0.4648803600514313, 0.26301537790979673)]",5.4790867,19.058952,0
6,PIERNA,8,"[(0.2203469733020716, 0.2905535338359745), (0.19383495427704686, 0.31064986342795736), (0.16495452098136337, 0.32058819445091696), (0.13894406775058293, 0.322661653637682), (0.10956375902986484, 0.32019974898043196), (0.08646143294866401, 0.3169324086591746), (0.06815406054215684, 0.3136650683379172), (0.05606349437155857, 0.31447050400192456), (0.044603242497130415, 0.32248392056849196), (0.03655309219063964, 0.3257512608897493), (0.02826252338596017, 0.3290186012110067), (0.024509047164613627, 0.3322859415322641), (0.022458338905900287, 0.3322859415322641), (0.021804643871536522, 0.3275398652869541), (0.021564225373347845, 0.32672676431143477), (0.02096644615376168, 0.3259136633359155), (0.020368666934175515, 0.3259454639324077), (0.019170375594063364, 0.3259772645288999), (0.01797208425395121, 0.3260090651253921), (0.016773792913839056, 0.33232166035432387), (0.01597133232722094, 0.33863425558325566), (0.015370820206694946, 0.3488649047964807), (0.015260503316426973, 0.3590955540097058), (0.015043565192957862, 0.3693262032229308), (0.014754165803480993, 0.370187984105937), (0.014498128619120133, 0.3710138125538728), (0.01420872922964326, 0.36078316334064775), (0.014029646730434362, 0.35038152936890504), (0.013788599203450486, 0.33874602804122345), (0.013458591546277135, 0.32766663615468605), (0.013297170150079907, 0.31996826193537353), (0.01280074125806815, 0.31521834458876263), (0.012470733600894799, 0.3106394120006695), (0.01230931220469757, 0.3026772553372655), (0.012384720184375982, 0.29086102475558995), (0.012668541734309133, 0.27569972894176004), (0.01311878451908069, 0.26073789280191517), (0.013402606069013842, 0.24469004986287007), (0.013686427618946992, 0.2292594566036401), (0.013894841189201732, 0.21578471593602058), (0.013894841189201732, 0.20008417428459668), (0.01423568206034167, 0.18639453212691826), (0.015197454186745405, 0.17159927654235546)]",8.520034,19.058952,0
6,TAB. INICIAL,0,"[(0.2391235768445278, 0.9952915295905361), (0.23149190659663388, 0.9987702554668243), (0.22252508852261296, 0.9992395690087996), (0.21622457573825343, 0.999708882550775), (0.21316584191103738, 0.9999296823704353), (0.21010710808382127, 0.999999999), (0.2080268926712971, 0.999999999), (0.20962583370310775, 0.999999999), (0.21494782807277538, 0.999999999), (0.21510909076367896, 0.999999999), (0.21851600414466898, 0.999999999), (0.22192291752565904, 0.999999999), (0.22516856821574552, 0.999999999), (0.22324961549412495, 0.999999999), (0.2221573759431803, 0.999999999), (0.2178194857021492, 0.999999999), (0.21348159546111808, 0.999999999), (0.20843184415479515, 0.999999999), (0.2066277435385587, 0.999999999), (0.20591588247326692, 0.999999999), (0.20520402140797517, 0.999999999), (0.20520402140797517, 0.999999999), (0.20591588247326692, 0.999999999), (0.2084840382327612, 0.999999999), (0.21482521249880898, 0.999999999), (0.22116638676485678, 0.999999999), (0.22302268145905924, 0.999999999), (0.22487897615326174, 0.999999999), (0.22487897615326174, 0.999999999), (0.21702334969904485, 0.999999999), (0.2063184531531908, 0.999999999), (0.1993865751138903, 0.999999999), (0.1921103592078778, 0.999999999), (0.18490948072841923, 0.999999999), (0.18206021063678202, 0.999999999), (0.18385643506180635, 0.999999999), (0.1856526594868307, 0.999999999), (0.18779322177856708, 0.999999999), (0.19236985322746922, 0.999999999), (0.19667748423621326, 0.999999999), (0.19918889081993293, 0.999999999), (0.20170029740365267, 0.999999999), (0.20421170398737237, 0.999999999)]",10.8901702,19.058952,0
6,TAB. CONCEPTOS,10,"[(0.6793245743466454, 0.42332847580844), (0.679986009432979, 0.39621225939304194), (0.681938968969941, 0.37370893198079635), (0.6826426081735885, 0.3587888132182693), (0.6826426081735886, 0.3438686944557423), (0.6819811730872548, 0.3406504472283878), (0.6813197380009213, 0.33434936077058924), (0.6806583029145876, 0.3280482743127907), (0.6799546637109402, 0.3280482743127907), (0.6792361384925869, 0.3247334352663963), (0.6785176132742337, 0.3200809836094013), (0.6777990880558803, 0.30988454540011806), (0.6759526098185034, 0.30523209374312305), (0.6741061315811265, 0.3019172546967286), (0.6700993210233556, 0.30521090519405225), (0.6636633924974424, 0.31287685069565163), (0.6570863066182985, 0.32277194370314477), (0.6517783311114089, 0.3139368531023302), (0.6464703556045193, 0.30355273485412954), (0.6440412376363771, 0.2777901681858573), (0.6439000802831464, 0.24544947094313657), (0.6439000802831465, 0.21642361274681035), (0.6439000802831464, 0.2005839516065037), (0.643191432787374, 0.18131629776031905), (0.6424827852916015, 0.17413344183688256), (0.64191529514906, 0.17585531006050087), (0.6413478050065183, 0.17757717828411917), (0.640639157510746, 0.18369019256725738), (0.640639157510746, 0.20215545428483087), (0.6438101802343624, 0.22062071600240435), (0.6515977720668431, 0.22146841388115096), (0.6553127089856805, 0.2141958040574982), (0.6590276459045178, 0.1977793445700052), (0.6666730825284113, 0.1704174411665912), (0.6720076549798335, 0.14305553776317712), (0.6718654997712462, 0.12794992223230833), (0.6742287023857101, 0.12319721862798808), (0.677492122926488, 0.12198815636527979), (0.6768250437622099, 0.12301169832672054), (0.6749285716877966, 0.1240352402881613), (0.6729920402382146, 0.12105668575191197), (0.6726228058792248, 0.10888965359531859), (0.6685100915904126, 0.09273806579418441)]",13.5487271,19.058952,0
6,DERECHA,2,"[(0.5669000156676546, 0.8250071170873554), (0.5745360525173246, 0.8626289067713631), (0.5798034727327288, 0.901144107117714), (0.5885135642460886, 0.9388631642018052), (0.5979918726458868, 0.9646893070987372), (0.6069033198188073, 0.9784915396162115), (0.6166870006164121, 0.9902237505845657), (0.6262613917957908, 0.9978940597033874), (0.6303855174016151, 0.999999999), (0.6340581239817438, 0.999999999), (0.6360657182573425, 0.999999999), (0.6358564286391164, 0.999999999), (0.6358564286391164, 0.999999999), (0.6378640229147149, 0.999999999), (0.6384376285781602, 0.999999999), (0.6395140595316031, 0.999999999), (0.6400876651950484, 0.999999999), (0.6406612708584938, 0.999999999), (0.6423113074753818, 0.999999999), (0.6438550392801593, 0.999999999), (0.6453996978683189, 0.999999999), (0.6475606302208823, 0.999999999), (0.6503990798263886, 0.999999999), (0.6521610984784518, 0.999999999), (0.6582126454369803, 0.999999999), (0.6631868346586838, 0.999999999), (0.6735489689993789, 0.999999999), (0.6832335860871311, 0.999999999), (0.6875302580558917, 0.999999999), (0.6924580459858445, 0.999999999), (0.6990018666871344, 0.999999999), (0.7006178994584717, 0.999999999), (0.7006178994584717, 0.999999999), (0.7044859385262207, 0.999999999), (0.702966032474978, 0.999999999), (0.6950732644945983, 0.999999999), (0.6826952568986837, 0.999999999), (0.6743939857449962, 0.999999999), (0.6676126206425514, 0.999999999), (0.6598679149101391, 0.999999999), (0.6538003424498079, 0.999999999)]",16.3511009,19.058952,0
-------,-------,-------,-------,-------,-------,-------
7,TAB. VERBOS,1,"[(0.40927761445096067, 0.8379590911348496), (0.41022284270926157, 0.9234098520274155), (0.41322929446858286, 0.96950923456903), (0.4164922480261364, 0.9747593213414838), (0.4162403924882356, 0.9755157973915691), (0.41753499575906367, 0.9772143940277063), (0.41882959902989186, 0.9800151422174823), (0.4213372687149749, 0.9841030595472822), (0.42796775336313375, 0.988909601026706), (0.43948649042741367, 0.9937161425061298), (0.45100522749169353, 0.9965569584111037), (0.4647301966540258, 0.9965569584111037), (0.4747460253272887, 0.993464619283926), (0.47817630514119147, 0.9896536560071241), (0.47559966907086937, 0.9876478627174761), (0.47302303300054727, 0.9864299891113001), (0.46481741268688753, 0.9864992846451477), (0.45661179237322774, 0.9883737501661493), (0.4506124041576204, 0.9914540404418233), (0.4506124041576204, 0.9927291607303435), (0.4506124041576204, 0.9945843141007924), (0.4506124041576204, 0.9964394674712412), (0.4540426839715231, 0.9983759652270414), (0.4556853722006628, 0.9990252938428179), (0.45695688182561717, 0.9990252938428179), (0.4582283914505716, 0.9978212036052951), (0.4621210204101285, 0.9966171133677726), (0.4603334288253655, 0.9953316787448985), (0.4603334288253656, 0.9941275885073757), (0.45502434491184296, 0.9941408111160547), (0.4505043054838797, 0.9953449013535774), (0.4493055851268072, 0.9965489915911), (0.45181770174500996, 0.9977530818286228), (0.45432981836321273, 0.9989571720661455), (0.4610997985215932, 0.9995932780732432), (0.4650803810266594, 0.9989571720661455), (0.4685416304392726, 0.9980773788748346), (0.4685416304392726, 0.9978336916906214), (0.4685416304392726, 0.997590004506408), (0.46654127727151734, 0.9973463173221948), (0.46654127727151734, 0.9971026301379814), (0.46694448682038037, 0.9971026301379814), (0.46694448682038037, 0.9964665241308838)]",3.6119373,28.5914717,0
7,ABRIR,4,"[(0.04688049585436058, 0.732402121547317), (0.049642813611516914, 0.732402121547317), (0.05329170199911519, 0.7276824394113269), (0.0555420726178967, 0.7310850553825572), (0.05829561269496514, 0.7310850553825572), (0.05860771466678325, 0.7267716235531508), (0.05758941413642973, 0.7201451658065943), (0.0542280079145695, 0.7101160920888073), (0.05183164933034425, 0.7000870183710205), (0.047646193998291106, 0.6782936706223468), (0.043970099963935305, 0.6473067302195503), (0.041624408431751116, 0.6220354317051342), (0.04165522007724155, 0.5967641331907181), (0.04183201968817574, 0.5665000932632518), (0.04490643941715017, 0.5480003273666723), (0.04858253345150597, 0.5430075859536221), (0.05225862748586178, 0.5380148445405719), (0.05225862748586178, 0.5288544748537994), (0.05225862748586178, 0.5288544748537994), (0.052372421580408356, 0.5338472162668495), (0.05248621567495494, 0.5388399576798998), (0.05093237938206652, 0.5388399576798998), (0.04944481102040186, 0.5430075859536221), (0.04795724265873719, 0.5430075859536221), (0.04413632122923487, 0.5380148445405719), (0.04031539979973257, 0.5356693396618976), (0.03816210875766525, 0.5383165761962734), (0.03816210875766525, 0.5483501823741526), (0.038722712400628294, 0.5659908681407139), (0.040286708398386425, 0.5893526050986914), (0.041850704396144564, 0.6066303028723101), (0.042411308039107615, 0.6239080006459291), (0.04297191168207066, 0.6337993287760446), (0.04297191168207066, 0.6360835773174778), (0.04105657751443394, 0.6326467746674949), (0.03913419026181694, 0.6326467746674949), (0.037325698880272276, 0.6250396950788124), (0.0351458165091568, 0.6030782446994539), (0.032382259490502684, 0.5681946336692064), (0.03055099207116744, 0.5331376033556178), (0.02872677773681246, 0.49202459600009146), (0.02872677773681246, 0.4561048943180192), (0.03036820682729875, 0.42804675216536936), (0.03413515620074795, 0.40717486251485935)]",7.7754098,28.5914717,0
