Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
-------,-------,-------,-------,-------,-------,-------
4,MAL,13,"[(0.4196522803209386, 0.16646174902560307), (0.36961901665114594, 0.17118461373851276), (0.32256820317549806, 0.1833063800944906), (0.29196846741877014, 0.19944873218539919), (0.2784955691111841, 0.21559108427630772), (0.2717579901995808, 0.23582883589273534), (0.2717579901995808, 0.2546894048408448), (0.2717579901995808, 0.264228003818089), (0.2717579901995808, 0.2660535223200258), (0.2717579901995808, 0.26723613093196363), (0.2766645459941483, 0.26723613093196363), (0.284110452292083, 0.26723613093196363), (0.29189750101149003, 0.2665932210419646), (0.29968454973089714, 0.26413691746873), (0.3098310870333584, 0.26232352378549456), (0.3201040416643692, 0.2610317471861726), (0.3312780521885846, 0.2597399705868507), (0.3436793020616063, 0.25844819398752883), (0.3574903425172951, 0.2609044975607634), (0.36963524372776335, 0.26336080113399796), (0.3771139034387091, 0.2633608011339979), (0.381152156753083, 0.2633608011339979), (0.38430614438603905, 0.2633608011339979), (0.386050341436328, 0.2579869804168021), (0.3864170730599225, 0.25016381798183007), (0.3864170730599225, 0.24427534203617896), (0.38641707305992257, 0.2395414886086138), (0.385530693146002, 0.2400951102862341), (0.3846443132320815, 0.24408786619172917), (0.3844420494070218, 0.25299665508944197), (0.38423978558196203, 0.26190544398715476), (0.38423978558196203, 0.26965961036678154), (0.3844420494070218, 0.2667391506224519), (0.38464431323208154, 0.26381869087812226), (0.38464431323208154, 0.2519894422360797), (0.38400995662987236, 0.23626245027260553), (0.3831733362026036, 0.2153894099139236), (0.38162672839399825, 0.19529792008582159), (0.3792505990835465, 0.1752064302577195), (0.377906255100001, 0.1580230324705284)]",3.2888124,9.0975625,0
-------,-------,-------,-------,-------,-------,-------
5,TAB. VERBOS,1,"[(0.4916916698217396, 0.839464777708055), (0.48701352477073706, 0.8405082523822799), (0.4848571121692661, 0.8424936473369613), (0.4854967653751377, 0.8444790422916426), (0.48613641858100926, 0.8455225169658676), (0.48794746696949043, 0.8455225169658676), (0.48975851535797155, 0.8446075439453139), (0.48975851535797155, 0.8431559383869185), (0.4832265883684162, 0.8410699188709273), (0.47010095715522804, 0.83811989426613), (0.4569753259420398, 0.8357773363590255), (0.44384969472885166, 0.8337422847747817), (0.43136371672153506, 0.8327776551246657), (0.42477001249790225, 0.8324474394321456), (0.42722539901733436, 0.8339443147182479), (0.4352343440055851, 0.8354411900043501), (0.43768973052501714, 0.8359749794006361), (0.4444985538721088, 0.8348124265670789), (0.45475395321846046, 0.8320573747158063), (0.45910739004612006, 0.8279838979244243), (0.4535538315773014, 0.8214913725852977), (0.45109844505786933, 0.8070281922817241), (0.4442896217107776, 0.8026613056659709), (0.434034222364426, 0.802305966615678), (0.42687877714633976, 0.802305966615678), (0.42407676875591316, 0.8047250151634227), (0.42090255618095435, 0.8160778045654308), (0.41460857093334236, 0.8184968531131755), (0.404558086395264, 0.8169912099838268), (0.39343206882476844, 0.8140051305294047), (0.3809433549642566, 0.8110190510749827), (0.37047168612480197, 0.8035852730274211), (0.36311978995800054, 0.7961514949798595), (0.3595243930816654, 0.7902233600616465), (0.3573511511087421, 0.7828376114368448), (0.35344125926494635, 0.7754518628120433), (0.3473558962345127, 0.770929843187333), (0.3397162139415745, 0.765380150079728), (0.3320765316486362, 0.759830456972123), (0.3233124613761906, 0.7572188138961801)]",17.0316204,36.8885999,0
5,QUERER,9,"[(0.26697824299335515, 0.49922949671745337), (0.28036051541566887, 0.48799294531345405), (0.29938887953758275, 0.4789821028709416), (0.3114517539739613, 0.46515559554100083), (0.32528165280818977, 0.4567076802253728), (0.33911155164241824, 0.44851560890674624), (0.35066095292568245, 0.44254410862922705), (0.35656426250934636, 0.43772844374179876), (0.3627470046281818, 0.43994901478290593), (0.3630264371633533, 0.44020485877990756), (0.36407649219036137, 0.44242542982101474), (0.3690330624580388, 0.44020485877990756), (0.37462621629238174, 0.44242542982101474), (0.3799399375915531, 0.4399877995252613), (0.3868264198303226, 0.43906053006649054), (0.39483090639114415, 0.4359126895666126), (0.3989288777112964, 0.4341948807239536), (0.40239026546478307, 0.4302565008401874), (0.4068873107433323, 0.42875575125217474), (0.4098115950822834, 0.42796521186828657), (0.41084725260734595, 0.42717467248439833), (0.4118829101324085, 0.42717467248439833), (0.41242693960666693, 0.42717467248439833), (0.41139128208160436, 0.4261497259140019), (0.40846699774265327, 0.4251247793436055), (0.4022367745637897, 0.42216532528400463), (0.3921738952398304, 0.41920587122440384), (0.38260264396667515, 0.4122250884771351), (0.3735754221677784, 0.4062692523002629), (0.36643682718277015, 0.4003803789615635), (0.3626041710376743, 0.39642601311206854), (0.3603259027004245, 0.39642601311206854), (0.35804763436317477, 0.40138178467750585), (0.355769366025925, 0.41107332408428227), (0.3564070731401447, 0.4206979006528858), (0.3626578181982044, 0.4291609972715381), (0.37118683159351384, 0.43366972804069553), (0.3797158449888233, 0.43724401593208356), (0.3882448583841328, 0.4360825359821324), (0.3969975888729099, 0.43492105603218123), (0.40013728141784705, 0.43492105603218123), (0.40382854044437444, 0.43647554814815565), (0.40751979947090183, 0.43792021274566695), (0.41169126331806216, 0.43936487734317825), (0.41272303462028537, 0.43936487734317825), (0.41327460110187564, 0.43936487734317825), (0.41310468614101453, 0.4373984575271611), (0.4129347711801533, 0.4355418652296071), (0.4122846513986592, 0.42579617798328445)]",22.1370486,36.8885999,0
5,BEBER,15,"[(0.8508508265018477, 0.36458474397659346), (0.8519206643104568, 0.33869776725769085), (0.8535799980163589, 0.3272326976060872), (0.8563884019851699, 0.3157676279544835), (0.8656934618949904, 0.3043025583028798), (0.8695785343647018, 0.3043025583028798), (0.873463606834413, 0.3116409301757817), (0.8742925345897689, 0.3158955097198491), (0.8742925345897689, 0.32872864902019544), (0.8742925345897689, 0.33587400913238563), (0.8740447938442244, 0.348707148432732), (0.87379705309868, 0.35420191586017646), (0.8721287250518813, 0.36278047561645543), (0.8698136270046248, 0.36278047561645543), (0.8663023829460158, 0.37466372251510655), (0.8627911388874068, 0.38085919022560155), (0.8596471130847945, 0.38085919022560155), (0.8603119850158706, 0.37517141103744545), (0.8609299123287215, 0.3694836318492893), (0.8640088260173812, 0.3525280088186268), (0.8670877397060408, 0.33476052880287205), (0.8713225781917586, 0.3231885164976124), (0.8734168469905867, 0.31730428338050876), (0.8769262909889235, 0.3114200502634052), (0.8784494340419784, 0.310608193278313), (0.8799725770950332, 0.3109811902046207), (0.8801613569259658, 0.3113541871309284), (0.8801613569259658, 0.3113541871309284), (0.8801613569259658, 0.3094371527433399), (0.8801613569259658, 0.30770719051361123), (0.8801613569259658, 0.30560423135757486), (0.8799725770950332, 0.30560423135757486), (0.8799725770950332, 0.30579764842987106), (0.8800800442695632, 0.30790809988975565), (0.8799725770950332, 0.3098314791917805), (0.8796723961830153, 0.31175485849380535), (0.8793722152709975, 0.3096582442522053), (0.8790720343589797, 0.30984416902065315), (0.8776682555675521, 0.3120242089033131), (0.8743672549724593, 0.31420424878597303), (0.869526576995851, 0.3143901735544209), (0.8646858990192428, 0.3183076679706578), (0.8590560734272017, 0.3162047088146214), (0.8543117940425887, 0.312107634544373), (0.8515722036361708, 0.30569951832294506), (0.8501274824142471, 0.30320889651775407), (0.848887419700624, 0.3019699871540074), (0.8484365046024337, 0.30158232450485273), (0.8482036411762252, 0.3042609095573429), (0.8477077126503005, 0.3041705816984181), (0.8472693502902999, 0.29620720148086593), (0.8464280426502242, 0.28517757356166884), (0.8455867350101485, 0.2772141933441167), (0.8438457190990463, 0.26194261163473176)]",29.3282129,36.8885999,0
-------,-------,-------,-------,-------,-------,-------
6,TAB. CUERPO,9,"[(0.25598598718643234, 0.1542271569371228), (0.26138527393341104, 0.15789652615785643), (0.2679885447025303, 0.16679307818412825), (0.27459181547164957, 0.18217051923275038), (0.2826683759689335, 0.19612095355987594), (0.2919711977243427, 0.20936769843101546), (0.29582870602607764, 0.22189121097326323), (0.2958287060260777, 0.23161745220422789), (0.2958287060260777, 0.23560452759265943), (0.2958287060260777, 0.24116876870393797), (0.29582870602607764, 0.2467330098152165), (0.2982734382152561, 0.252297250926495), (0.3021914601325993, 0.2554315805435185), (0.3077787756919865, 0.2570087462663655), (0.3118928015232091, 0.2570087462663655), (0.3133874058723454, 0.2570087462663655), (0.3136635392904286, 0.255451582372189), (0.3139396727085118, 0.25389441847801253), (0.31275607943534894, 0.24828987568616911), (0.3102693080902104, 0.2422517523169522), (0.31047887504100846, 0.23408270031213804), (0.31068844199180645, 0.22662242949008987), (0.3124347567558293, 0.21916215866804167), (0.3139715045690541, 0.2157492667436604), (0.3168114304542546, 0.21164159774780317), (0.3183481782674794, 0.20901463478803678), (0.3207178264856343, 0.206686452031136), (0.31956954002380417, 0.20435826927423523), (0.3167296141386037, 0.20203008651733442), (0.31368012130260514, 0.20137986391782806), (0.3094106823205952, 0.20207879394292877), (0.30267805159091987, 0.20440697669982955), (0.29792660772800483, 0.20565550923347517), (0.29305129945278213, 0.20798369199037597), (0.28614632487297104, 0.20976227223873184), (0.2804612964391712, 0.210841922461987), (0.27640655934810676, 0.210841922461987), (0.27235182225704235, 0.21192157268524214), (0.27011258900165597, 0.21709792017936752), (0.2705408364534382, 0.2220738992094998), (0.27096908390522045, 0.2270498782396321), (0.27139733135700267, 0.23202585726976438), (0.27275044322013897, 0.23700183629989663), (0.27545403838157695, 0.23680146783590356), (0.2777293860912327, 0.23680146783590356), (0.28044218719005626, 0.2309934020042424)]",22.0348789,64.5849713,2
6,PIERNA,13,"[(0.33155575394630465, 0.16277311444282577), (0.3266994714736942, 0.17143174260854765), (0.31746559441089667, 0.17835874110460326), (0.31275361180305516, 0.1834040299057965), (0.31109274327755015, 0.18818631768226668), (0.31109274327755015, 0.19026525020599405), (0.31109274327755015, 0.18870419412851375), (0.31616607904434246, 0.1868640407919888), (0.31686182022094767, 0.18713354617357295), (0.3162162780761723, 0.18655551373958632), (0.31557073593139695, 0.1875831454992299), (0.31492519378662154, 0.1901718333363537), (0.3135839104652409, 0.19685979038476983), (0.31224262714386025, 0.19761791676282922), (0.31224262714386025, 0.20118120312690774), (0.31224262714386025, 0.20118120312690774), (0.31224262714386025, 0.2039863631129269), (0.309754386544228, 0.20004455149173778), (0.3072661459445957, 0.20098442286253015), (0.30144801735878035, 0.19729949682951015), (0.2956298887729649, 0.1982252761721615), (0.2898117601871495, 0.19454035013914153), (0.2864818722009663, 0.19378222376108215), (0.2831519842147831, 0.19196258634328886), (0.28648187220096627, 0.19196258634328886), (0.28794823288917576, 0.19196258634328883), (0.2917341440916065, 0.1925579458475117), (0.29758776128292125, 0.1931533053517346), (0.3050134718418125, 0.19280710816383406), (0.3091092944145206, 0.19340246766805694), (0.31506864428520237, 0.1912507250905041), (0.31870844364166295, 0.1907470703125004), (0.32028053700923953, 0.1902434155344967), (0.32028053700923953, 0.19220947921276132), (0.3237343102693561, 0.19323398619890253), (0.3271880835294727, 0.19520004987716716), (0.3331706970930103, 0.19672821164131207), (0.33915331065654786, 0.19946655929088636), (0.34644953012466456, 0.2016822665929799), (0.35029197633266485, 0.2038979738950734), (0.354134422540665, 0.2038979738950734), (0.35027848482131996, 0.2038979738950734), (0.3415341347455982, 0.202687788009644), (0.33636459112167394, 0.1989439189434056), (0.33636459112167394, 0.19243202060461084), (0.33636459112167394, 0.18813582956790964)]",33.8444916,64.5849713,2
6,TAB. INICIAL,0,"[(0.045134424790740375, 0.8068926751613628), (0.04561896547675169, 0.811947387456895), (0.04601840674877203, 0.8158252835273754), (0.04627718292176759, 0.8166215360164653), (0.04620412588119543, 0.8144822835922252), (0.04613106884062327, 0.8152785360813152), (0.04583427198231256, 0.8143292844295512), (0.045537475124001865, 0.8140406489372264), (0.04537466727197206, 0.8154975175857555), (0.04537466727197206, 0.8166875183582316), (0.04537466727197206, 0.8181443870067607), (0.045537475124001865, 0.8202279508113872), (0.04591120220720804, 0.8208546459674848), (0.04645235165953672, 0.8214813411235822), (0.046993501111865406, 0.8235649049282087), (0.047534650564194085, 0.8236297845840467), (0.04791299216449297, 0.8230679690837871), (0.04808041453361547, 0.8220110714435588), (0.04808041453361547, 0.8214492559432994), (0.04808041453361547, 0.82088744044304), (0.04808041453361547, 0.82088744044304), (0.04822282679379023, 0.82088744044304), (0.04836523905396498, 0.8213825225830089), (0.04870405942201652, 0.8213825225830089), (0.04935162551701107, 0.8213825225830089), (0.04969044588506259, 0.8203304588794719), (0.05019559971988239, 0.8192783951759349), (0.05070075355470218, 0.8200405359268199), (0.0510094992816452, 0.8204887926578532), (0.05077223889529743, 0.8209370493888866), (0.05076016820967235, 0.8209370493888866), (0.05021469369530716, 0.8224373698234568), (0.049669219180941956, 0.8221234858036052), (0.049348402768373864, 0.8232776880264293), (0.049348402768373864, 0.8226430833339704), (0.049348402768373864, 0.8241780042648326), (0.049360762163997075, 0.8226995408535014), (0.04937312155962028, 0.8212210774421702), (0.049193526059389495, 0.818588411808015), (0.04900185987353363, 0.817744553089143), (0.04934805706143417, 0.8172119200229655), (0.0495689310133461, 0.8172119200229655), (0.04978980496525802, 0.8172119200229655), (0.04997797571122684, 0.816781520843507), (0.050094661116600415, 0.8156179010868083), (0.04981483295559921, 0.8108128547668467), (0.04987262673676052, 0.8052220582962046), (0.050056754425168416, 0.7987500786781322), (0.05048599652946033, 0.7915317177772533), (0.051063616573810956, 0.7812743246555339), (0.05187608040869274, 0.770562630891801)]",43.7518331,64.5849713,2
6,TAB. CONCEPTOS,10,"[(0.5385161638259891, 0.18149595707654997), (0.5514158189296726, 0.18314929455518766), (0.5572315573692326, 0.18480263203382535), (0.5626568615436558, 0.18480263203382535), (0.5683948099613194, 0.18366310596466107), (0.5735955893993382, 0.18366310596466107), (0.5794596552848821, 0.18306952416896866), (0.5863064289093022, 0.18446296155452774), (0.5909740388393406, 0.18907372951507612), (0.5933223783969883, 0.1948240235447888), (0.5953057527542118, 0.19943479150533722), (0.5966258406639103, 0.2040455594658856), (0.5969632208347325, 0.20468228906393096), (0.5968031048774723, 0.20269526988267944), (0.5966429889202123, 0.20378087311983153), (0.5961454927921299, 0.20486647635698363), (0.5956479966640477, 0.20647296607494398), (0.5946475088596348, 0.21006647497415587), (0.5941445171833043, 0.21313909739255948), (0.5936415255069737, 0.21313909739255948), (0.5936415255069737, 0.21159597188234375), (0.5936415255069737, 0.21107508540153547), (0.5918142497539525, 0.21107508540153547), (0.586764776706696, 0.211226868629456), (0.5805240869522099, 0.21024552881717726), (0.5737804055213933, 0.21132820099592253), (0.5682279407978063, 0.21246134042739911), (0.5674626469612126, 0.21307359337806747), (0.5671811401844029, 0.21681017130613373), (0.5680908501148229, 0.22213912159204527), (0.5698437690734868, 0.22694718539714853), (0.5704054713249211, 0.23016165643930475), (0.5682376980781559, 0.23019016236066858), (0.5688083350658422, 0.2274634465575222), (0.5697269797325138, 0.22096047401428262), (0.5716221809387212, 0.2144557237625126), (0.5735173821449284, 0.2112697586417202), (0.578873068094254, 0.2112697586417202), (0.5842287540435795, 0.2124566674232487), (0.5909495651721959, 0.21420536190271416), (0.5958506107330327, 0.2159558340907101), (0.6009193360805516, 0.21435599327087446), (0.6028001487255101, 0.2127561524510388), (0.6046085476875309, 0.20821893066167876), (0.6047038137912755, 0.2056360781192784), (0.6019524633884434, 0.20112901031971023)]",49.6904065,64.5849713,2
6,DERECHA,2,"[(0.5155930727720264, 0.8628601908683791), (0.5320054769515995, 0.8628601908683791), (0.5466890156269077, 0.8601385772228255), (0.5584669649600987, 0.8574169635772719), (0.5672538459301, 0.8574169635772719), (0.5732881188392643, 0.8574169635772719), (0.5799572825431828, 0.8574169635772719), (0.5845991730690007, 0.8546954274177565), (0.5873605847358708, 0.8546955049037948), (0.5923077642917638, 0.8519739687442793), (0.5972549438476566, 0.8563691020011917), (0.5994407117366796, 0.8607642352581039), (0.6016264796257024, 0.8678809046745315), (0.6045833289623265, 0.8683340549469009), (0.6049287557601933, 0.87291415333748), (0.6052741825580601, 0.8712968289852157), (0.6036243498325352, 0.8655525565147414), (0.599411922693253, 0.8598082840442671), (0.5929331481456761, 0.8621328651905074), (0.5858314394950871, 0.8603304982185378), (0.5787297308444981, 0.856203550100328), (0.5716213524341588, 0.856203550100328), (0.5670755684375768, 0.8539294838905349), (0.5660269796848302, 0.849802535772325), (0.564025050401688, 0.8456755876541152), (0.564025050401688, 0.8456755876541152), (0.5660269796848302, 0.8455438852310195), (0.5680289089679722, 0.8498271465301528), (0.5660269796848302, 0.851836341619493), (0.5680289089679722, 0.8547244429588332), (0.5660269796848302, 0.8567336380481734), (0.5625706672668461, 0.8588745355606093), (0.560224545001984, 0.8588745355606093), (0.5598803520202641, 0.8566004693508162), (0.5569192409515386, 0.8532052934169784), (0.5538525879383092, 0.8506890237331405), (0.5524308860301976, 0.8481727540493026), (0.5497084259986882, 0.8431975603103652), (0.546944642066956, 0.8404964327812209), (0.5439941227436069, 0.8362412869930281), (0.5431510746479038, 0.8319861412048354), (0.5406786322593693, 0.8259430408477796)]",59.0483288,64.5849713,2
-------,-------,-------,-------,-------,-------,-------
7,TAB. VERBOS,1,"[(0.3150848925113682, 0.7840719044208537), (0.3555776491761211, 0.7790311992168437), (0.38243505358696017, 0.7769098281860363), (0.400041422247887, 0.7747768640518199), (0.4166488647460941, 0.7747768640518199), (0.43111524283885994, 0.7796712756156932), (0.44272178709507026, 0.7840141713619243), (0.45031563043594397, 0.7834626555442821), (0.45546133220195806, 0.7807897686958324), (0.45860641002655067, 0.7773334741592418), (0.46045536696910894, 0.7748068809509288), (0.4625489562749866, 0.7748068809509288), (0.4652604520320896, 0.7767819583415996), (0.467046016454697, 0.7804800987243663), (0.4688315808773044, 0.7859124541282665), (0.47145624160766636, 0.7905614018440257), (0.4719467043876652, 0.7922844648361217), (0.47181926071643865, 0.7949583351612102), (0.4712177991867069, 0.7959091424942027), (0.47061633765697514, 0.7953649580478679), (0.4691757798194889, 0.7954797208309184), (0.4676830589771274, 0.7965452909469615), (0.46476713120937385, 0.796660053730012), (0.46135369837284124, 0.7967748165130626), (0.4579402655363086, 0.797433763742448), (0.4554983556270603, 0.797433763742448), (0.45407514870166815, 0.797433763742448), (0.45407514870166815, 0.7991858124732982), (0.4569603413343433, 0.8009378612041484), (0.45785530805587804, 0.8036372303962718), (0.4577787518501285, 0.8063365995883952), (0.45703633129596744, 0.8090359687805186), (0.45629391074180636, 0.8125839889049541), (0.44828598797321356, 0.8171765148639689), (0.44226829111576116, 0.8221886754035962), (0.43586035966873204, 0.8272008359432232), (0.4266881167888645, 0.8335683822631849), (0.42053647041320835, 0.8383286714553846), (0.4197366565465931, 0.8414570331573499), (0.4189368426799778, 0.8414570331573499), (0.4185272634029392, 0.8414570331573499), (0.4215478599071506, 0.8404943823814406), (0.4185272634029392, 0.8385382890701306), (0.41509867310524023, 0.8371696174144757), (0.40984123349189794, 0.8389310240745557), (0.4027171224355701, 0.8393237590789809), (0.39433547854423556, 0.8385557949543013), (0.3889744311571125, 0.8337613403797162), (0.38402137756347693, 0.8250510513782514), (0.38089717328548467, 0.8149720907211316)]",17.0771584,97.9505099,0
7,TAB. VERBOS2,1,"[(0.28080110102891964, 0.8063045799732219), (0.3194817587733273, 0.8129033327102672), (0.36286234408617063, 0.8185403347015393), (0.40783100426197094, 0.8256634354591382), (0.44613947570323986, 0.8318307280540479), (0.4692376255989079, 0.83500789999962), (0.48066326975822493, 0.8361898839473738), (0.4868067860603337, 0.8368475198745742), (0.4879758119583134, 0.8375051558017745), (0.4881454885005955, 0.8381627917289748), (0.48966562449932133, 0.8401758790016188), (0.4925465196371082, 0.8418469250202193), (0.49444814324379005, 0.8412224709987655), (0.49634976685047183, 0.8405980169773116), (0.49690093100070987, 0.8399735629558578), (0.495380795001984, 0.8379936575889602), (0.4923302233219151, 0.8382912635803237), (0.4891259521245961, 0.8408843696117415), (0.4856494694948201, 0.8408843696117415), (0.47978389561176343, 0.8408843696117415), (0.4721112877130513, 0.8443553626537337), (0.46047646701335954, 0.8415876567363751), (0.4458177983760838, 0.8424655437469497), (0.42976298034191174, 0.8478542149066939), (0.41744771301746414, 0.8544270694255843), (0.4093286812305455, 0.8575289309024825), (0.4044479340314869, 0.8648695111274733), (0.4023101359605793, 0.8685644984245314), (0.40053656399250076, 0.8697486817836776), (0.3987629920244221, 0.8685644984245314), (0.3945249706506734, 0.8673803150653854), (0.3918069660663609, 0.8656030058860793), (0.39059402048587843, 0.8611177623271956), (0.3897979319095616, 0.8553765773773208), (0.3883525967597966, 0.850408655405046), (0.3883525967597966, 0.8454407334327712), (0.3869072616100316, 0.8404728114604965), (0.38490771353244824, 0.8382128238677993), (0.3837954431772236, 0.8369010567665113), (0.38221963942050974, 0.8353851556777967), (0.3799071252346043, 0.833869254589082), (0.37965696156024975, 0.829800957441331), (0.3784567177295689, 0.8242708206176769), (0.37725647389888806, 0.818732535839082), (0.3771690100431447, 0.8117953836917889), (0.37701719701290176, 0.8031941056251537), (0.37545228004455605, 0.7931381285190593)]",31.7547291,97.9505099,0
7,ABRIR,9,"[(0.3332810610532765, 0.4455249279737476), (0.33493549227714575, 0.4737222552299503), (0.33577758371830024, 0.4901351213455204), (0.3366196751594547, 0.49629383385181464), (0.3366196751594547, 0.5024525463581087), (0.3366196751594547, 0.5057590007781985), (0.33577758371830024, 0.5068101286888125), (0.33414947986602817, 0.5088662803173067), (0.33221678137779276, 0.5151722967624666), (0.32895806729793586, 0.5214783132076265), (0.3234623730182652, 0.5277843296527864), (0.31880877017974896, 0.5287893533706667), (0.3149411797523503, 0.5287893533706667), (0.31024890244007153, 0.5287893533706667), (0.30633630454540295, 0.5287893533706667), (0.304099035263062, 0.523488360643387), (0.30242341756820723, 0.5234851062297823), (0.3001861482858662, 0.5256830632686617), (0.2985207736492161, 0.5261542081832888), (0.29740173518657725, 0.5266253530979159), (0.29684434831142464, 0.5371774256229405), (0.2957253098487858, 0.5477327525615696), (0.2931979864835743, 0.5579075217247014), (0.2890368282794956, 0.5645081102848057), (0.28487567007541703, 0.5661850094795231), (0.2829057335853581, 0.5596642673015598), (0.2809357970952992, 0.5531435251235965), (0.28504421710968064, 0.5432566463947299), (0.2913438588380818, 0.5333697676658632), (0.2971713930368428, 0.5284065783023836), (0.300807705521584, 0.5273599565029147), (0.30483302175998733, 0.5263133347034457), (0.3068494796752934, 0.5281744241714481), (0.3088659375905995, 0.5327496707439425), (0.3092549413442616, 0.5373249173164372), (0.3096439450979237, 0.541401302814484), (0.3096439450979237, 0.5445698559284213), (0.30754438340663953, 0.5445698559284213), (0.3054448217153553, 0.5403102159500126), (0.3054448217153553, 0.5295557469129565), (0.3086823999881748, 0.5096123278141025), (0.3119199782609944, 0.49057674109935795)]",50.4506459,97.9505099,0
7,TAB. INICIAL,0,"[(0.048526770621538526, 0.8032596409320842), (0.048526770621538526, 0.807615101337434), (0.04883327595889605, 0.8106813609600078), (0.04963133372366465, 0.8139021813869487), (0.05042939148843326, 0.8157707333564769), (0.05045228004455604, 0.8167997777462016), (0.05045228004455604, 0.8180670619010936), (0.05009591989219227, 0.8194109439849864), (0.049248007312417394, 0.8206002652645121), (0.048348188027739894, 0.822085839509965), (0.04793992117047346, 0.8242915332317364), (0.04777965843677558, 0.8265291988849652), (0.04766925051808394, 0.8283396840095533), (0.04759812988340892, 0.8307470023632062), (0.04753962866961993, 0.8324875235557571), (0.047421165183186904, 0.8333545684814467), (0.04742654263973273, 0.8339514017105116), (0.04743192009627856, 0.8339514017105116), (0.04739801026880778, 0.832936275005342), (0.0475251771509651, 0.8323394417762771), (0.04771230630576647, 0.8317426085472122), (0.047834095731377965, 0.8314747691154494), (0.04803976453840769, 0.8333662450313583), (0.048318601399660474, 0.8356760144233718), (0.04855248667299785, 0.8388256072998062), (0.048786371946335214, 0.8419752001762404), (0.04902025721967258, 0.8447957992553725), (0.04917894229292907, 0.8472632646560682), (0.04925578013062515, 0.8497307300567639), (0.04925578013062515, 0.8509400784969342), (0.04925578013062515, 0.8511133670806899), (0.04925578013062515, 0.8509941875934613), (0.04924710094928779, 0.8499581277370465), (0.04924710094928779, 0.848629599809648), (0.04920958988368549, 0.8480602860450759), (0.049172078818083186, 0.8485270321369185), (0.04913456775248089, 0.8499703586101546), (0.049054349958897014, 0.8504371047019973), (0.0488920461386446, 0.8504371047019973), (0.04858796969056167, 0.8490442812442793), (0.04828389324247875, 0.8471258997917189), (0.04797981679439582, 0.844523406028749), (0.04771844707429447, 0.8423146128654494), (0.04771844707429447, 0.8408650338649764)]",56.2046041,97.9505099,0
7,TAB. RÁPIDO,0,"[(0.04919090121984519, 0.7863038241863262), (0.04919090121984519, 0.794407606124879), (0.049061851203441996, 0.801460772752763), (0.0489328011870388, 0.8069114446640026), (0.0489328011870388, 0.8143196642398844), (0.0489328011870388, 0.8193847656250013), (0.04913327060639896, 0.8194237828254712), (0.04966711327433624, 0.8220913946628581), (0.05045418590307273, 0.8247590065002454), (0.05111220851540603, 0.8221304118633282), (0.05219069123268165, 0.819501817226411), (0.052648244425654786, 0.819501817226411), (0.05290147438645402, 0.8168732225894939), (0.0526482444256548, 0.8142446279525768), (0.0526482444256548, 0.8142446279525768), (0.05222778432071247, 0.8141192674636851), (0.05222778432071247, 0.8139939069747936), (0.05241010449826755, 0.8123567342758189), (0.05295896045863666, 0.8107585787773143), (0.053254586458206556, 0.8070633351802836), (0.05378835238516368, 0.8020817995071422), (0.05451172143220939, 0.8000237286090861), (0.05505277030170003, 0.7994774699211131), (0.055565126985311894, 0.7980658173561107), (0.05669371783733407, 0.7999245822429668), (0.05855702757835427, 0.7988431990146647), (0.06087734140455762, 0.7938737630844127), (0.06907885000109712, 0.7889043271541606), (0.08293015807867091, 0.784761267900468), (0.09663446359336418, 0.7787019133567821), (0.1113958522677426, 0.7759607911109935), (0.12727141752839133, 0.7752178251743327), (0.1388202622532849, 0.7739179193973552), (0.14676558822393462, 0.7726180136203776), (0.1549855858087544, 0.7701552510261546), (0.1613813310861592, 0.7687260568141947), (0.16658473014831587, 0.7641794323921213), (0.17121081948280378, 0.7601897478103646), (0.1794352069497113, 0.7551321506500253), (0.19280532151460691, 0.7509664356708535), (0.2102618291974072, 0.7468007206916818), (0.23351946473121682, 0.7469983875751505), (0.28338812440633815, 0.747196054458619), (0.35411082208156625, 0.7484616339206704), (0.4189438894391063, 0.7526273488998422), (0.4794848740100865, 0.7586988866329202), (0.5336562931537633, 0.7624909043312081), (0.5622487545013433, 0.7643770992755898), (0.5652936756610875, 0.7643770992755898), (0.5693275630474095, 0.7602113842964181), (0.5739520072937017, 0.7539107382297525), (0.5802789390087132, 0.7476100921630868), (0.5845966398715977, 0.7432152688503274), (0.587878650426865, 0.7407066404819498), (0.5914745867252355, 0.7404775321483621), (0.6169402122497564, 0.7362680137157449), (0.6657681405544288, 0.7330949664115914), (0.7191653490066536, 0.7241685807704934), (0.772874927520753, 0.7152421951293955), (0.8252816140651713, 0.7045098185539252), (0.8552280545234693, 0.6973664104938514), (0.8601097047328963, 0.6898070812225349), (0.8621529519557967, 0.6880010902881629), (0.8638838291168227, 0.6837460994720466), (0.8656147062778488, 0.6812970995903023), (0.8663821578025832, 0.6786854445934303), (0.865538972616197, 0.6754532396793372), (0.862964910268785, 0.6731098771095283), (0.859311026334764, 0.6732155144214638), (0.855657142400743, 0.6746191382408149), (0.852461683750154, 0.6777463376522072), (0.8499552130699172, 0.6800903320312507), (0.8458282768726363, 0.6800903320312507), (0.8427811622619643, 0.6800903320312507), (0.8375460863113418, 0.6759024024009712), (0.830510097742082, 0.6707741022109992)]",61.2986614,97.9505099,0
